"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.64439411098528","6.56267593127951","6.56059983256587","8.04870092771284","6.00930463861198","6.19982020521405","5.60453032868235","5.81923015322193","5.81063105374113","5.71477677995961","5.7707344647804","6.04345104372198","6.21864183225986","6.21165477002249","6.19310091453338","7.20083027969937","7.18702579666161","8.30201920316438","",
"Afghanistan","AFG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.94153393091103","9.96140587460391","9.78643213141882","9.21144138442569","9.13936123761027","10.0211507987294","9.74654988187395","8.72704931049844","8.6527381890794","8.44979325054471","8.64598901289595","",
"Angola","AGO","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83242678957237","3.44775012343926","4.57851056153325","4.70453510401985","4.10987897860686","3.39068909861856","5.82113342989265","4.36041309376165","4.93052306531894","5.12110974203752","4.15800412499395","4.54243613521467","3.38311089908754","3.84493151222799","4.37059616680295","3.4082583366549","3.44237596432391","3.47405126927447","",
"Albania","ALB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.52243895206608","4.02708529733979","4.80643038263598","5.33864018056919","5.83376579449703","6.3500437598354","6.04485391426056","6.50259184117737","6.16381469187348","6.51387167702974","6.2794885169998","5.95165942438121","6.43818417333662","6.11138693409598","5.99562759313424","5.5339949215122","6.02841136283774","5.97295013119779","",
"Arab World","ARB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.80808821132444","3.809638632579","3.93908447540285","4.15389473208702","4.25104614847699","4.08255353501167","4.40836428009335","4.45553355760923","4.23491083897637","3.98658303377698","3.62450908272117","3.58279329400544","3.67011231614328","3.50492731621146","4.43777419510507","4.07605368456226","3.82334301323993","3.76528302404607","",
"United Arab Emirates","ARE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.63612946887927","2.45902448657188","2.48706023813308","2.62383982253594","2.47709085919276","2.18541378485237","2.48427471024542","2.71758720327965","2.64640592281731","2.46216066669729","2.32022392582225","2.32733110142818","2.47847344597096","2.66668315933011","3.42928491546508","3.23878795468736","3.11274754798081","2.83615741663866","",
"Argentina","ARG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3109886090759","8.024993358257","8.36136480314485","8.53592232745326","9.35514856373153","9.21275684604518","9.37589133508115","8.31392581691301","8.21606599205151","8.18813868394096","8.32966842641529","8.25579043831115","8.21230975972478","8.28420914359408","9.40816381503354","8.18773989266298","7.87268916362136","8.49336164063349","",
"Armenia","ARM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.41873605567613","5.79075720255132","5.76758904274913","5.75617179037071","5.68179056937076","6.25348348353777","5.9404164825963","5.40041920591861","5.56388067737475","5.50118169303358","5.25211644309261","4.57775071813387","4.30883082276188","3.7993229832847","4.54532196287875","4.56225906399133","3.71354490508864","4.48562388574633","",
"American Samoa","ASM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.87673123959005","4.60747465204324","4.64358712314768","4.64118890893235","3.96223560793152","4.039951206953","4.38119887029558","4.31415224485603","4.40495014698188","4.12224566680268","4.49932716052458","4.46694547476086","4.56687090854333","4.44481943058213","4.56063447731881","5.65165382937335","5.50937521344629","5.15636322377093","",
"Australia","AUS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2508679359266","7.43869101694489","7.49133868956214","7.64730404618325","7.77640373574287","8.05501524271639","8.16290525970001","8.39002991499945","8.33722395888953","8.58651675257256","8.47938253883542","8.5203873287529","8.55313790530417","8.75101035563461","9.04228384720444","8.94805245860069","8.97363165079109","8.94394866381325","",
"Austria","AUT","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.58176283881273","9.53320218586498","9.81247774263378","9.97160203698271","10.1582876490969","10.0243605425339","10.0936704747739","10.1222870712813","10.3035334405945","10.4283027236419","10.4186993411443","10.2176609679406","10.261682951378","10.4895419563849","11.227124695526","11.6407908046491","11.3449205287178","11.4659998544562","",
"Azerbaijan","AZE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.79187600859852","6.1239139058725","5.45197597031163","5.43466004247658","5.35714446966157","4.6708130100448","4.48244096514161","4.46710557571758","6.56328803912999","7.924543949117","7.86329594399829","6.16806758664327","5.09525292732037","4.37406647040293","5.85024048219056","5.33360009669752","5.0093250295744","5.39383187886173","",
"Burundi","BDI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.45877157717645","5.4127390430703","5.00773217706686","5.74008164784601","5.5971258821588","6.29992669622654","6.76648528071135","7.07511723361001","7.16128189802662","9.7188152989682","10.0793736787107","11.625537618274","10.0267674315087","7.85946356941739","6.96418727256177","8.83916631038439","8.95663125782947","8.13384863475893","",
"Belgium","BEL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.61132512853069","7.91027712425711","7.765482430596","7.88649842600484","8.07696010917753","8.12059728442285","8.29205205482616","8.46176755267664","9.96769717950296","10.0082187670579","9.98326142336909","9.48110683156174","9.52544293733157","9.91277600866113","10.5937521311591","10.5030403931204","10.5139192506949","10.7941235066591","",
"Benin","BEN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.69253536086784","4.586628818446","4.3119221119675","4.3856682412538","4.5868718805015","4.3388314469269","4.68662712054683","4.27422258151296","4.63057858292624","4.56181020585761","4.73367263386867","4.75035736888055","4.5459451973369","4.18830821379843","4.3713587943986","4.34792769835656","4.48215047532738","4.48925770811622","",
"Burkina Faso","BFA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.30206450137566","4.51853069572271","4.53355273917878","4.68279738438622","5.26499091018479","5.1314249913361","4.93974364222658","5.01066447272068","5.52342011278459","6.1114931880396","6.87428914712866","7.36714502971867","7.65176196099074","8.57728610216999","7.27746155472111","7.35963535656589","6.36732226895076","6.16718645493756","",
"Bangladesh","BGD","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52965017901097","3.46476897334363","2.75450052849735","2.73393296932215","2.75927982630623","2.81513248357136","2.98188099989745","3.09347879400149","3.03568101670104","3.12361062308355","3.20838020323328","3.39835021897736","3.45781772611529","3.53824711266135","3.70506799068181","3.69389300621655","3.81425303220483","3.59843880647499","",
"Bulgaria","BGR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2349199136658","4.66942993413582","5.12166859791425","5.36329618082967","5.97382082651156","6.18446130655834","7.37359772136942","7.58273875524273","7.58101298594318","7.31335439287257","7.30680374111222","6.89356566138373","6.81355363332148","6.97410779998557","7.22684187723941","7.58041842997992","7.26917163080033","7.41736012936938","",
"Bahrain","BHR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09907502175567","4.03853741954839","4.35629975679877","4.20968614326519","4.12294839640793","3.50894525738578","3.79529568678163","3.89411557032071","3.73970832480567","3.93966149840218","3.74462229968398","3.59210793778444","3.61958388744482","4.09903913171667","4.49352436695472","4.264941556785","3.83254215306177","3.88371205003404","",
"Bahamas, The","BHS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8503937007874","6.91604322527016","5.55011883407755","5.58609618636248","5.23029010766163","5.20817529433184","5.14618628494912","5.25568410789544","5.6180021000625","6.02453451751399","5.95416502405459","6.93251787564207","7.07559268054615","7.30297429970117","7.43192010487688","7.43214840561752","7.54551999814347","7.51572094420613","",
"Bosnia and Herzegovina","BIH","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.37447348749489","11.6250953940662","8.10623446015653","7.99740656303248","8.89631136374256","7.1397560540862","7.24244738346069","7.07111659513591","7.99144235687127","9.04383330415755","8.71180020677238","8.52256700620608","8.58483986784041","8.79113393340563","9.87075448310057","9.80025835620862","9.91748159114817","9.88722343943636","",
"Belarus","BLR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.74025353574459","6.23562466443215","6.59252514788867","5.95665774185211","6.16338325618973","6.12884845344397","6.62474592699593","6.47012421146732","6.58928032749773","6.58678934285327","6.88635261056405","6.33680486188744","6.43773261676383","5.94918910838138","6.08504113449713","5.5542040931418","4.92365904094982","5.03643159959003","",
"Belize","BLZ","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.24572927224924","3.630959292886","3.91983495062641","3.79582510325798","3.66661215103068","3.97583145116955","4.502116850828","4.37894297980225","4.54238845723104","4.39858149752639","4.44927682550586","4.41244632705161","4.81007170774752","5.10470041204776","5.77290719629613","5.84005216303182","5.75819996545769","5.80662983425414","",
"Bermuda","BMU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4699780318","4.62820987941878","4.42171316844634","5.10001354079685","6.19650545317274","6.07566264797683","6.3115437596736","6.52937184523456","5.57003588232785","5.33621630416644","5.57983250740536","4.79771746493463","4.69560080466399","4.93074355739198","5.76479720181737","5.46985960399601","4.97586477552419","5.77485519429567","",
"Brazil","BRA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.65233539434358","6.84886221585018","6.80873175338898","6.73858033894428","7.08688909567051","7.16416104696808","7.26895808118353","7.19452275037183","7.02514253377162","7.13057282027959","8.16969691324677","8.48248330965025","8.47019718991502","8.28338066963832","8.75364727585692","9.00820306503516","8.89761080831959","9.30940500897551","",
"Barbados","BRB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3415610919718","6.16140123221746","5.93808800315363","5.92945448095271","6.11466937008337","6.28465900632564","6.66758115565194","7.37332434457508","7.05861980647008","7.09961595254957","6.9626455906822","7.11517126829421","7.52180601020767","7.53366972656785","7.95706521883938","6.674495002036","7.15070635006784","6.28620685607134","",
"Brunei Darussalam","BRN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.94670073096303","3.70512632614393","3.71657996877642","4.43392330383481","4.0941387713223","3.00454621042913","3.17872379520888","3.11739946932584","3.10014096961739","3.01491426492941","2.5909625025468","2.22224399302483","2.29884374292327","2.21212225212026","2.81601902748745","2.73318412458318","2.23398383939109","2.28398072230011","",
"Bhutan","BTN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.83730573787621","6.16432645454505","7.16420581776616","7.04393163369608","6.74038945704737","6.7181874826621","6.18539493463717","7.88377977053952","5.05864446050957","4.40750007796349","4.34556273961066","4.40444378584504","5.00941500625756","5.24342611253735","4.58831703024708","4.07932268768783","3.72817280200032","3.77325637517545","",
"Botswana","BWA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.17374193101738","4.15594987748124","4.41909555060335","3.96711575370049","3.84929296277233","4.73767284687601","5.17403946323746","5.72102220282537","4.30510913304582","4.94125344234049","5.62370393405881","4.92954437010531","4.71308552837579","5.34315601349378","6.14250168723251","5.64268375109042","5.24916240281443","5.3069351219022","",
"Sub-Saharan Africa (IFC classification)","CAA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86663204053862","3.76863263770451","3.67310429709273","3.48936635453302","3.92970255805572","4.28623058201412","3.98758295878693","4.20663602572869","4.36851550860285","4.14192166378554","4.35642541085043","4.04073407083426","4.3151819770019","4.30957009803213","3.57683042179136","3.87158760498719","3.88047838346241","3.75978538123871","",
"Canada","CAN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.03397740200833","8.82224521547109","8.7858035328916","9.03732719981901","8.902332180762","8.84239562056407","9.31573672801178","9.59787375369176","9.78137561357595","9.80787580970264","9.82946468488075","9.96207360013238","10.0263223911783","10.2536658687878","11.3992224776567","11.3737583589395","10.923797209222","10.9285191544682","",
"East Asia and the Pacific (IFC classification)","CEA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3343083531173","9.71518237833925","9.66982037019228","9.84654166768681","10.0029279852586","9.90805015572196","10.2816739064812","10.6065713621925","10.9339129963884","10.9612029325163","10.8629420404899","10.3877220660434","10.2098565385676","10.2889505970213","11.0005385918038","10.8816709895082","11.0148072885423","11.2954643570234","",
"Channel Islands","CHI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.48004003099247","6.98141100763765","6.96983034089164","7.50940584308354","7.68000459473426","7.67372058831394","7.65936640255014","7.49952178315741","7.07734261306747","6.71049747313696","6.57428288253414","6.21093223717516","6.3731420141171","6.83125121959733","7.45477947770418","7.06823719372274","7.09673105190368","7.18198260122546","",
"China","CHN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5449772252059","3.80661819769419","4.04786171109113","4.35858583457738","4.51342842914014","4.62293726281328","4.58339531092428","4.81168836142272","4.84756578823949","4.74754122100018","4.68261230643981","4.55047783082206","4.35422169071202","4.62859788752791","5.1457216991671","4.97627721955564","5.1459959712875","5.41455871028789","",
"Cote d'Ivoire","CIV","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.35825157505335","6.91719211360245","7.55329669251265","7.97836195675814","6.90911599290847","6.46247772701814","5.23889422969244","4.71900730742167","5.13794203173384","5.58056577532425","5.66097496498207","6.02551182372181","6.55311076386933","6.4503652292745","6.75752529975349","6.86562923402988","6.77601326249668","7.06393363079603","",
"Latin America and the Caribbean (IFC classification)","CLA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8612433464936","5.16753611198643","4.64468324314784","4.42319014804149","4.4340099381737","4.44518705507444","4.66638116759959","4.82878326997979","4.92535480694479","4.63286677377948","4.87616092797299","4.7743649274383","4.70890063193881","4.98222893773465","5.10203818335527","5.25641511843159","5.35781964106617","5.13099884153848","",
"Congo, Rep.","COG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.16306068798001","2.86291491423776","3.09868108118014","3.73837715517426","3.06500203448792","2.12504959436683","2.43633673969099","2.45276459310564","2.61050746606822","2.55529588655438","2.42171831831998","2.37270829833921","2.53770363061677","2.0851417567386","2.26558575890856","2.29284844906337","2.49737649638104","3.16423238710924","",
"Colombia","COL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75685007524179","8.16065797682524","8.95554087500326","8.72644583390475","8.67189032191171","5.9065855915907","5.96000371926624","5.66898945471888","5.92269294828251","5.37077634990675","5.81583689836428","6.11170443972097","6.25336641442729","6.61993575747729","7.0124069478269","6.75753711992337","6.52025179613072","6.83451705379111","",
"Comoros","COM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.549518898489","4.41521427151774","4.42234143252417","3.97575662247425","3.79801414883536","3.48074847026145","2.83078914058745","3.39668304431272","3.61136204505376","3.96101822006874","4.28472842553653","4.5889638971581","4.91714493747568","5.1739738797007","3.81382469492819","3.4464669022557","3.56879618568785","4.53691648568636","",
"Cabo Verde","CPV","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.28728442447269","4.8237397629294","4.73245519014365","5.23817847337708","4.64854912649079","4.81197136528298","5.18842560560919","5.17292777600022","4.99736721948336","5.06127652098637","4.85837167386621","5.11488034226689","4.30181632477628","3.96261016273441","4.24249162864292","4.25780456092063","4.02547463426629","3.89629559649554","",
